entity_type,player_tag,clan_tag,country,error
player,#2PV2LY9VC,#QCVPVL9L,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V008QVRVY,#GYJ8Y929,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#Q8CJ9RQGV,#GYJ8Y929,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RYLL90PUG,#GYJ8Y929,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JYY99LVP2,#GYJ8Y929,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YVYV02QV,#GYJ8Y929,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20R2JQQJJR,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2002RU2YUQ,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VVVGLP2L2,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20280Y08LL,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VLRPRVJVJ,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20CG9UQ2R2,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CR00UGJLG,#GQ8RV0UQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VG22PCLP2,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#L29YJPCCU,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VUCLR808Y,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#P8PQJUL8L,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2029RCGC9G,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PLCP8Q00,#G29GQQL8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#Y2PG9RY8,#G29GQQL8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UV0GL0P9J,#G02J8CV2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YCP9PU,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#YV9J8P8R9,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RJR89URQ8,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RV0VLVVU0,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#J99CQ0JP8,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#GVPQRL0JP,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#L2VP9V28,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#LCCVL0Y9J,#QG899ULP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
